Work Order ID,Tree ID,Latitude,Longitude,Date Created,Created By,Creator ID,Creator Role,Assigned To,Details,Notes,Status,Priority,Work Type,Due Date,Completion Date,Materials Used,Cost Estimate
WO-2000,T-843,40.592139,-74.180572,2025-01-20,jdoe,U-3090,Forester Admin,Crew B,Storm Damage Assessment,Work delayed due to weather conditions.,In Progress,Emergency,Maintenance,2025-03-23,Pending,Insecticide Spray,3064.83
WO-2001,T-467,40.713656,-74.00138,2025-02-16,asmith,U-7825,Forester,Crew A,Tree Removal Scheduled,Routine check-up completed.,Completed,Medium,Emergency Response,2025-03-27,2025-03-27,None,2056.53
WO-2002,T-280,40.892976,-73.971793,2025-01-11,fgarcia,U-9126,Forester Admin,Crew E,Tree Pruning Required,"Inspection completed, follow-up required.",On Hold,High,Emergency Response,2025-03-07,Pending,Tree Bracing Kit,1365.47
WO-2003,T-109,40.62031,-74.140162,2025-01-21,asmith,U-2803,Forester,Crew A,Tree Pruning Required,Approval pending from city department.,Completed,Emergency,Emergency Response,2025-02-09,Pending,Insecticide Spray,3684.32
WO-2004,T-645,40.567021,-74.049885,2025-01-23,hroberts,U-5104,Forester,Crew C,Tree Pruning Required,Approval pending from city department.,Open,Low,Maintenance,2025-02-16,Pending,None,3420.1
WO-2005,T-697,40.568108,-74.030493,2025-01-28,ewong,U-4996,Senior Officer,Crew C,Routine Tree Inspection,Awaiting crew availability.,Completed,Medium,Inspection,2025-02-13,2025-02-13,None,4414.53
WO-2006,T-522,40.570696,-73.859602,2025-01-30,jdoe,U-3369,Forester Admin,Crew D,Branch Overgrowth Management,Work order scheduled for next week.,Completed,Emergency,Inspection,2025-02-01,2025-02-01,Tree Bracing Kit,572.64
WO-2007,T-122,40.766073,-74.016345,2025-02-26,hroberts,U-8529,Forester Admin,Crew B,Insect Infestation Treatment,High priority due to public safety concerns.,Open,Emergency,Inspection,2025-03-19,Pending,Pruning Shears,3470.74
WO-2008,T-567,40.672049,-74.131732,2025-02-03,jdoe,U-9577,Forester Admin,Crew B,Tree Health Monitoring,Emergency clearance completed successfully.,Open,Low,Maintenance,2025-02-10,Pending,Excavator,4048.36
WO-2009,T-136,40.770946,-73.853602,2025-02-13,hroberts,U-2197,Forester Admin,Crew E,Insect Infestation Treatment,Emergency clearance completed successfully.,On Hold,Emergency,Emergency Response,2025-02-25,2025-02-25,Insecticide Spray,711.41
WO-2010,T-351,40.842649,-73.937827,2025-01-19,jdoe,U-3074,Forester,Crew A,Tree Health Monitoring,High priority due to public safety concerns.,Open,Low,Inspection,2025-03-26,Pending,Excavator,1185.23
WO-2011,T-137,40.86402,-73.761032,2025-02-11,dpatel,U-9810,Forester,Crew C,Branch Overgrowth Management,Approval pending from city department.,On Hold,Emergency,Inspection,2025-03-21,Pending,Pruning Shears,220.95
WO-2012,T-519,40.594081,-74.022426,2025-02-16,ckim,U-1788,Forester Admin,Crew C,Routine Tree Inspection,Routine check-up completed.,Completed,Low,Maintenance,2025-03-17,Pending,Pruning Shears,999.56
WO-2013,T-244,40.530136,-73.974202,2025-02-28,bmartinez,U-2196,Forester,Crew E,Emergency Tree Clearance,High priority due to public safety concerns.,Completed,Medium,Maintenance,2025-02-19,Pending,Insecticide Spray,1717.14
