Request ID,Date,Location,Issue Type,Priority,Status,Assigned To
SR-1000,2025-01-02,"380 Maple Ave, Bronx",Tree Blocking Traffic Signals,Low,In Progress,Crew D
SR-1001,2025-01-24,"545 Elm St, Brooklyn",Tree Needs Pruning,Low,Completed,Crew E
SR-1002,2025-01-21,"920 Park Ave, Staten Island",Insect Infestation,High,Completed,Crew D
SR-1003,2025-01-07,"950 Park Ave, Manhattan",Tree Fallen on Car,High,Open,Unassigned
SR-1004,2025-01-27,"349 Cedar Rd, Brooklyn",Insect Infestation,Medium,Open,Unassigned
SR-1005,2025-01-15,"113 Pine St, Staten Island",Root Uplifting Sidewalk,High,In Progress,Crew B
SR-1006,2025-01-06,"253 Birch St, Manhattan",Tree Blocking Traffic Signals,Low,Open,Unassigned
SR-1007,2025-01-28,"175 Cedar Rd, Manhattan",Diseased Tree Removal,High,Open,Unassigned
SR-1008,2025-01-10,"249 5th Ave, Staten Island",Root Uplifting Sidewalk,High,Completed,Crew B
SR-1009,2025-01-12,"141 5th Ave, Bronx",Tree Fallen on Car,High,In Progress,Crew E
SR-1010,2025-01-26,"444 Maple Ave, Staten Island",Tree Fallen on Car,Medium,In Progress,Crew E
SR-1011,2025-01-02,"135 Elm St, Brooklyn",Tree Branch Hanging Low,Low,Completed,Crew C
SR-1012,2025-01-26,"587 Elm St, Manhattan",Diseased Tree Removal,Medium,Open,Unassigned
SR-1013,2025-01-22,"562 Main St, Bronx",Insect Infestation,High,In Progress,Crew E
SR-1014,2025-01-19,"598 Oak Rd, Manhattan",Insect Infestation,High,In Progress,Crew A
SR-1015,2025-01-19,"675 Elm St, Brooklyn",Tree Needs Pruning,Medium,In Progress,Crew D
SR-1016,2025-01-07,"234 Park Ave, Queens",Tree Blocking Traffic Signals,High,Completed,Crew C
SR-1017,2025-01-12,"510 Pine St, Brooklyn",Tree Branch Hanging Low,Medium,Open,Unassigned
SR-1018,2025-01-26,"796 5th Ave, Bronx",Fallen Tree Blocking Road,High,Completed,Crew B
SR-1019,2025-01-10,"202 Pine St, Bronx",Fallen Tree Blocking Road,Low,In Progress,Crew E
SR-1020,2025-01-08,"947 Park Ave, Manhattan",Tree Needs Pruning,High,In Progress,Crew D
SR-1021,2025-01-22,"175 Cedar Rd, Manhattan",Tree Blocking Streetlight,High,Open,Unassigned
SR-1022,2025-01-02,"844 Birch St, Staten Island",Fallen Tree Blocking Road,Low,In Progress,Crew C
SR-1023,2025-01-07,"379 Maple Ave, Manhattan",Root Uplifting Sidewalk,High,In Progress,Crew A
SR-1024,2025-01-23,"975 Main St, Queens",Tree Branch Hanging Low,High,Completed,Crew D
